,question,answer,index
0,Lena is making a collage with pictures of all her closest friends and newspaper clippings that are about their interests. She has found three clippings for each friend’s pictures. It takes her six drops of glue to stick down each clipping. Lena has already glued her seven closest friends’ pictures. How many drops of glue will she need for the newspaper clippings for her collage?,"Lena has 3 clippings per friend, so she has 3 * 7 = <<3*7=21>>21 clippings to glue.
She needs 6 drops of glue per clipping, so she will need 6 * 21 = <<6*21=126>>126 drops of glue.
#### 126",4383
1,"Riku has 25 times more stickers than Kristoff. If Kristoff has 85 stickers, how many stickers does Riku have?","If Kristoff has 85 stickers, Riku has 25 * 85 stickers = <<85*25=2125>>2125 more stickers.
The total number of stickers Riku has is 2125 stickers + 85 stickers = <<2125+85=2210>>2210 stickers
#### 2210",282
2,"Carl caused a car accident that resulted in $40,000 worth of property damage and $70,000 worth of medical bills. If Carl's insurance company will pay 80% of the costs, leaving Carl to pay the remaining 20%, how much does Carl personally owe?","First find the total cost of the accident: $40,000 + $70,000 = $<<40000+70000=110000>>110,000
Then multiply the total cost by the percentage Carl has to pay to find his personal cost: $110,000 * .2 = $<<110000*.2=22000>>22,000
#### 22000",3239
3,"When Jeffrey walks, for every three steps forward, he takes two steps backwards.  Therefore, if the distance between the house and the mailbox is 66 steps, what is the total number of steps Jeffrey takes when he goes from the house to the mailbox?","For every 3 steps forward, he adds 2 more backwards so each 'step' gained costs 5 actual steps
66 steps distance * 5 steps moved = <<66*5=330>>330 steps total
#### 330",3627
4,Mike wants to buy a new phone. The cost of the phone is $1300. How much more money does Mike need if he already has 40% of the amount he needs?,"Mike already has 40/100 * 1300 = $<<40/100*1300=520>>520.
This means he needs 1300 - 520 = $<<1300-520=780>>780 more, to buy the phone.
#### 780",4436
5,Jessa needs to make cupcakes for 3 fourth-grade classes that each have 30 students and a P.E. class with 50 students. How many cupcakes does she need to make?,"For the fourth-grade classes, Jessa needs 3 classes * 30 cupcakes/class = <<3*30=90>>90 cupcakes
Adding the cupcakes for the P.E. class 50, she needs to make a total of 90 cupcakes + 50 cupcakes = <<90+50=140>>140 cupcakes
#### 140",119
6,"A baker is making bread according to a recipe that requires him to use 3 eggs for every 2 cups of flour.  If the baker wants to use up the 6 cups of flour he has remaining in his pantry, how many eggs will he need to use?","If he uses 6 cups of flour, the baker will be making 6/2 = <<6/2=3>>3 times the normal amount that the recipe describes.
Thus, he must use 3*3 = <<3*3=9>>9 eggs.
#### 9",1522
7,"Jack needs to mop the bathroom and the kitchen. If the bathroom floor is 24 square feet and the kitchen floor is 80 square feet, and Jack can mop 8 square feet per minute, how many minutes does he spend mopping?","First find the total floor area Jack needs to mop: 24 sq ft + 80 sq ft = <<24+80=104>>104 sq ft
Then divide the total area that needs to be mopped by Jack's mopping rate: 104 sq ft / 8 sq ft/minute = <<104/8=13>>13 minutes
#### 13",3494
8,"Jack is mad at his neighbors for blasting Taylor Swift all night, so he slashes three of their tires and smashes their front window. If the tires cost $250 each and the window costs $700, how much will Jack have to pay for the damages?","First find the total cost of the tires: $250/tire * 3 tires = $<<250*3=750>>750
Then add that amount to the cost of the window to find the total cost: $700 + $750 = $<<700+750=1450>>1450
#### 1450",6315
9,"At Peanut Emporium, peanuts cost $3 per pound with a 15-pound minimum. If Baxter spent $105 on peanuts, how many pounds over the minimum did he purchase?","Start by figuring the number of pounds Baxter bought. $105 / $3 per pound = <<105/3=35>>35 pounds of peanuts
35 pounds bought - 15 pounds minimum = <<35-15=20>>20 pounds over.
#### 20",3725
10,"Macy has a goal of running a total of 24 miles per week. If she runs 3 miles per day, how many miles does Macy have left to run after 6 days so that she could meet her goal?","In 6 days, Macy is able to run 3 x 6 = <<3*6=18>>18 miles.
Therefore, she has 24 – 18 = <<24-18=6>>6 miles left to run to meet her goal.
#### 6",6418
11,"Bob ordered 80 packs of Greek yogurt from Costco to use for the month. However, when the delivery arrived, he realized 40% of the packs were expired. He decided to return those packs. If each pack was $12, how much was Bob refunded for the expired product?","The number of Greek yogurt packs that had expired is 40/100*80 = <<40/100*80=32>>32
If each pack of Greek yogurt was sold at $12, for the 32 packs of greek yogurt that he returned, Bob was refunded $12*32 = $<<12*32=384>>384
#### 384",2070
12,"Jaymee is 2 years older than twice the age of Shara. If Shara is 10 years old, how old is Jaymee?","Twice the age of Shara is 10 x 2 = <<10*2=20>>20.
So, Jaymee is 20 + 2 = <<20+2=22>>22 years old.
#### 22",5054
13,"Marc bought 50 episodes of the show ""Friends"" online. Each day Marc watches 1/10 of the episodes he bought. How many days will Marc need to finish 50 episodes of the show he bought?","Marc watches 50 * 1/10 = <<50*1/10=5>>5 episodes a day.
So, he will need 50 / 5 = <<50/5=10>>10 days to finish all episodes he bought.
#### 10",6298
